linkedin_url,input_name,website,linkedin_id_found,success
https://www.linkedin.com/company/faurecia/,FAURECIA CLEAN  MOBILITY (groupe FORVIA),https://www.faurecia.com,faurecia,true
https://www.linkedin.com/company/prysmian/,PRYSMIAN GROUP,https://fr.prysmian.com,prysmian,true
https://www.linkedin.com/company/petit-bateau/,PETIT BATEAU,https://www.petit-bateau.fr,,false
https://www.linkedin.com/company/valeo/,VALEO VISION,https://www.valeo.com/fr,valeo,true
https://www.linkedin.com/company/antolin/,GRUPO ANTOLIN BESANCON,https://www.antolin.com,grupo-antolin,false
https://www.linkedin.com/company/lisi-automotive/,LISI AUTOMOTIVE DELLE,https://www.lisi-automotive.com/fr,83710,false
https://www.linkedin.com/company/pochet/,QUALIPAC AURILLAC (groupe Pochet),https://www.groupe-pochet.fr/nos-sites-dans-le-monde/qualipac-aurillac,pochet,true
https://www.linkedin.com/company/ykk-france/,YKK FRANCE,https://www.ykk.fr,ykk-france,true
https://www.linkedin.com/company/thuasne/,THUASNE,https://fr.thuasne.com/fr,thuasne,true
https://www.linkedin.com/company/fysol-sas/,FYSOL SAS,https://www.fysol.com,,false
https://www.linkedin.com/company/gibaud/,GIBAUD,https://www.gibaud.com,gibaud,true
https://www.linkedin.com/company/innothera/,Innothera,https://www.innothera.fr/fr,,false
https://www.linkedin.com/company/sylektis/,SYLEKTIS,https://www.sylektis.com,sylektis,true
https://www.linkedin.com/company/renaultgroup/,AUTO CHASSIS INTERNATIONAL (Renault Group),https://www.renaultgroup.com/groupe/implantations/usine-villeurbanne-aci-2,renaultgroup,true
https://www.linkedin.com/company/faurecia/,FAURECIA AUTOMOTIVE COMPOSITES,https://www.faurecia.com,faurecia,true
https://www.linkedin.com/showcase/vorwerk-france-recrute/,VORWERK FRANCE,https://www.vorwerk.com/fr/fr/c/vorwerk,,false
https://www.linkedin.com/company/ynsect/,YNSECT,https://www.ynsect.com/fr,ynsect,true
https://www.linkedin.com/company/saint-gobain/,SAINT GOBAIN PLACO,https://www.placo.fr,placo,false
https://www.linkedin.com/company/saint-gobain-pam-canalisation/,SAINT GOBAIN PAM CANALISATION,https://www.pamline.fr,,false
https://www.linkedin.com/company/herta-sas,HERTA,https://www.herta.fr,herta-france,false
https://www.linkedin.com/company/siemens/,SIEMENS (Haguenau),https://www.siemens.com/fr/fr.html,siemens,true
https://www.linkedin.com/company/wienerbergerfr/,WIENERBERGER,https://www.wienerberger.fr,wienerbergerfr%20%20,false
https://www.linkedin.com/company/acome/,ACOME,https://www.acome.com/fr,acome,true
https://www.linkedin.com/company/maisonm%C3%A9lanmoutet/,SOLOCAP-MAB,https://www.maisonmelanmoutet.com/fr,,false
https://www.linkedin.com/showcase/saint-gobain-life-sciences/,MS TECHNIQUES,https://www.medical.saint-gobain.com/medical-capabilities/precision-medical-extrusion/catheter-tubing,,false
https://www.linkedin.com/company/clarios/,CLARIOS SAS Sarreguemines,https://www.clarios.com,clarios,true
https://www.linkedin.com/company/groupegestra/,GESTRA,https://www.gestra.fr,,false
https://www.linkedin.com/company/hagergroup/,HAGER CONTROLS,https://hager.com/fr,hager-france,false
https://www.linkedin.com/company/riva-acier-sas/,SAM SOCIETE DES ACIERS D'ARMATURE POUR LE BETON,https://www.rivaacier.com/fr,riva-acier-sas,true
https://www.linkedin.com/company/diagast/,DIAGAST,https://www.diagast.com/fr,diagast,true
https://www.linkedin.com/company/lucas-france/,LUCAS FRANCE,https://www.lucas-robotic-system.com,lucas-france,true
https://www.linkedin.com/company/borlis-solutions/,BORLIS,https://www.borlis-solutions.com,,false
https://www.linkedin.com/company/jimmyfairly-com/,JIMMY FAIRLY LAB,https://www.jimmyfairly.com,,false
https://www.linkedin.com/company/microoled/,MICROOLED,https://microoled.net,microoled,true
https://www.linkedin.com/company/atlas-copco/,ATLAS COPCO,https://www.atlascopco.com/fr-fr,atlas-copco,true
https://www.linkedin.com/company/b%C3%BCrstner-gmbh/,BURSTNER SA,https://www.buerstner.com/fr/fr,b%c3%bcrstner-gmbh,true
https://www.linkedin.com/company/innovafeed/,INNOVAFEED,https://innovafeed.com,innovafeed,true
https://www.linkedin.com/company/safran,SAFRAN AIRCRAFT ENGINES,https://www.safran-group.com,safran,true
https://www.linkedin.com/company/europe-technologies-group/,EUROPE TECHNOLOGIES,https://oratech-et.fr,mps-oratech,false
https://www.linkedin.com/company/ricoh-industrie-france-sas/,RICOH INDUSTRIE FRANCE,https://www.ricoh-thermal.com/fr,,false
https://www.linkedin.com/company/olympus-france/,OLYMPUS FRANCE,https://www.olympus.fr,,false
https://www.linkedin.com/company/holder-group/,HOLDER,https://www.groupeholder.com,,false
https://www.linkedin.com/company/texen/,TEXEN,https://www.texen.com,texen,true
https://www.linkedin.com/company/ouest-alu/,OUEST ALU,https://www.ouestalu.fr,ouest-alu,true
https://www.linkedin.com/company/lisaqua/,LISAQUA,https://www.lisaqua.com,,false
https://www.linkedin.com/company/verallia/,VERALLIA PACKAGING,https://www.verallia.com,verallia,true
https://www.linkedin.com/company/aptargroup-inc-/,APTAR FRANCE SAS,https://aptar.com,aptargroup-inc-,true
https://www.linkedin.com/company/albeagroup/,ALBEA GROUP,https://www.albea-group.com,albeagroup,true
https://www.linkedin.com/company/arcelormittal,ARCELORMITTAL WIRE FRANCE,https://barsandrods.arcelormittal.com/wiresolutions/FR,,false
https://www.linkedin.com/company/ouest-alu/,MAYET,https://www.ouestalu.fr,ouest-alu,true
https://www.linkedin.com/company/jtekt-european-operations/,JTEKT EUROPE CHEVIGNY,https://www.jtekt.eu,jtekt-european-operations,true
https://www.linkedin.com/company/constellium/,CONSTELLIUM EXTRUSIONS France,https://www.constellium.com,2249972,false
https://www.linkedin.com/company/te-connectivity/,TE Connectivity,https://www.te.com/fr,te-connectivity,true
https://www.linkedin.com/company/axon-cable/,Axon Cable,https://www.axon-cable.com/fr/00_accueil/00_sommaire/00/index.aspx,axon-cable,true
https://www.linkedin.com/company/codica-c%C3%A2bles-transmissions/,Codica câbles transmissions,https://www.codica-cables.fr,codica-c%c3%a2bles-transmissions,true
https://www.linkedin.com/showcase/corning-cable-systems/,Corning,https://www.corning.com/emea/fr.html,corning-incorporated,false
https://www.linkedin.com/company/nexans/,Nexans,https://www.nexans.fr/fr,nexans,true
https://www.linkedin.com/company/keyence/,KEYENCE,https://www.keyence.fr,,false
https://www.linkedin.com/company/scortex/,SCORTEX,https://scortex.io,scortex,true
https://www.linkedin.com/company/groupe-visionic/,VISIONIC 'groupe Siléane),https://www.visionic.fr,,false
https://www.linkedin.com/company/visionairy/,VISIONAIRY,https://www.visionairy.io,visionairy,true
https://www.linkedin.com/company/psycleresearch/,PSYCHLE RESEARCH,https://www.psycle.io,posts,false
https://www.linkedin.com/company/r&d-vision/,RD VISION,https://rd-vision.com,r&d-vision,true
https://www.linkedin.com/company/deephawk/,DEEP HAWK,https://www.deephawk.ai,deephawk,true
https://www.linkedin.com/company/another-brain/,AN OTHER BRAIN,https://anotherbrain.ai/fr,another-brain,true
https://www.linkedin.com/company/cognex-corporation/,COGNEX,https://www.cognex.com/fr-fr,7453,false
https://www.linkedin.com/company/inspekto-amv/,INSPEKTO,https://inspekto.com,inspekto-amv,true
https://www.linkedin.com/company/neovisionsas/,NEOVISION,https://neovision.fr,neovisionsas,true
https://www.linkedin.com/company/thales,Thales,http://www.thalesgroup.com,thales,true
https://www.linkedin.com/company/arianespace_2,Arianespace,http://www.arianespace.com,arianespace_2,true
https://www.linkedin.com/company/stelia-aerospace,Stelia Aerospace,https://www.stelia-aerospace.com/en,stelia-aerospace,true
https://www.linkedin.com/company/spacex,SpaceX,http://www.spacex.com,,false
https://www.linkedin.com/company/blue-origin,Blue Origin,https://www.blueorigin.com,blue-origin,true
https://www.linkedin.com/company/airbusgroup,Airbus,http://www.airbus.com,airbusgroup,true
https://www.linkedin.com/company/boeing,Boeing,http://www.boeing.com,,false
https://www.linkedin.com/company/segula-technologies,Segula technologies,https://www.segulatechnologies.com,segula-technologies,true
https://www.linkedin.com/company/latecoere,Latécoère,https://www.latecoere.aero,latecoere,true
https://www.linkedin.com/company/the-coca-cola-company,Coca-cola,http://www.coca-colacompany.com,the-coca-cola-company,true
https://www.linkedin.com/company/danone,Danone,http://www.danone.com,danone,true
https://www.linkedin.com/company/bledina,Bledina,http://www.bledina.com,,false
https://www.linkedin.com/company/lactalis,Lactalis,https://www.lactalis.com,lactalis,true
https://www.linkedin.com/company/nestle-s-a-,Nestle,http://www.nestle.com,nestle-s-a-,true
https://www.linkedin.com/company/sodebo,Sodebo,https://www.sodebo.com/espace-recrutement,sodebo,true
https://www.linkedin.com/company/terrena,Terrena,http://www.terrena.fr,terrena,true
https://www.linkedin.com/company/volkswagen-group,Volkswagen group,https://www.volkswagenag.com/en.html,volkswagen-group,true
https://www.linkedin.com/company/groupepsa,PSA Group,http://www.groupe-psa.com,stellantis,false
https://www.linkedin.com/company/iveco-group,Iveco,http://www.ivecogroup.com,,false
https://www.linkedin.com/company/valeo,Valeo,http://www.valeo.com,valeo,true
https://www.linkedin.com/company/automobiles-peugeot,Peugeot,http://www.peugeot.com,,false
https://www.linkedin.com/company/bmw-group,BMW,https://www.bmwgroup.com/en/general/imprint.html,bmw-group,true
https://www.linkedin.com/company/tesla-motors,Tesla,https://www.tesla.com/careers,,false
https://www.linkedin.com/company/bridgestone,Bridgestone,https://www.bridgestoneamericas.com/en/index,bridgestone,true
https://www.linkedin.com/company/toyota,Toyota,http://www.toyota-global.com,,false
https://www.linkedin.com/company/michelin,Michelin,http://www.michelin.com,4101,false
https://www.linkedin.com/company/ford-motor-company,Ford,https://corporate.ford.com/careers,ford-motor-company,true
https://www.linkedin.com/company/mercedes-benz_ag,Mercedes-Benz,http://www.mercedes-benz.com,,false
https://www.linkedin.com/company/fcagroup,Fiat Chrysler Automobiles,https://www.fcagroup.com,stellantis,false
https://www.linkedin.com/company/spie_2,Spie,http://www.spie.com,spie_2,true
https://www.linkedin.com/company/caterpillar-inc,Caterpillar,https://www.caterpillar.com,caterpillar-inc,true
https://www.linkedin.com/company/bouygues-construction,Bouygues,http://www.bouygues-construction.com,bouygues-construction,true
https://www.linkedin.com/company/haulotte-group,Haulotte,http://www.haulotte.com,haulotte-group,true
https://www.linkedin.com/company/mecalac,Mecalac,https://www.mecalac.com,9473367,false
https://www.linkedin.com/company/manitougroup,Manitou Group,http://www.manitou-group.com,manitougroup,true
https://www.linkedin.com/company/vinci-energies,Vinci Energie,http://www.vinci-energies.com,vinci-energies,true
https://www.linkedin.com/company/bosch-rexroth,Bosch Rexroth,http://www.boschrexroth.com,bosch-rexroth,true
https://www.linkedin.com/company/lacroix-group,Lacroix,http://www.lacroix-group.com,lacroix-sa,false
https://www.linkedin.com/company/legrand,Legrand,https://www.legrandgroup.com,legrand,true
https://www.linkedin.com/company/schneider-electric,Schneider Electric,https://www.se.com,schneider-electric,true
https://www.linkedin.com/company/liquid-robotics,Liquid Robotics,http://liquid-robotics.com,liquid-robotics,true
https://www.linkedin.com/company/asm-assembly-systems,ASM Assembly,https://smt.asmpt.com,asmpt-smt-solutions,false
https://www.linkedin.com/company/boston-dynamics,Boston Dynamics,http://www.bostondynamics.com,boston-dynamics,true
