linkedin_url,input_name,website,domain,linkedin_id_found,success
https://www.linkedin.com/company/arcelormittal,ARCELORMITTAL WIRE FRANCE,https://barsandrods.arcelormittal.com/wiresolutions/FR,arcelormittal.com,arcelormittal,true
https://www.linkedin.com/company/ouest-alu/,OUEST ALU,https://www.ouestalu.fr/,ouestalu.fr,ouest-alu,true
https://www.linkedin.com/company/constellium/,CONSTELLIUM EXTRUSIONS France,https://www.constellium.com/,constellium.com,constellium,true
https://www.linkedin.com/company/te-connectivity/,TE Connectivity,https://www.te.com/fr/,te.com,te-connectivity,true
https://www.linkedin.com/company/codica-c%C3%A2bles-transmissions/,Codica câbles transmissions,https://www.codica-cables.fr/,codica-cables.fr,codica-c%c3%a2bles-transmissions,true
https://www.linkedin.com/company/scortex/,SCORTEX,https://scortex.io/,scortex.io,scortex,true
https://www.linkedin.com/company/neovisionsas/,NEOVISION,https://neovision.fr/,neovision.fr,neovisionsas,true
https://www.linkedin.com/company/terrena,Terrena,http://www.terrena.fr,terrena.fr,terrena,true
https://www.linkedin.com/showcase/corning-cable-systems/,Corning,https://www.corning.com/emea/fr.html,corning.com,corning-incorporated,false
https://www.linkedin.com/company/cognex-corporation/,COGNEX,https://www.cognex.com/fr-fr,cognex.com,cognex-corporation,true
https://www.linkedin.com/company/visionairy/,VISIONAIRY,https://www.visionairy.io/,visionairy.io,visionairy,true
https://www.linkedin.com/company/iveco-group,Iveco,http://www.ivecogroup.com,ivecogroup.com,,false
https://www.linkedin.com/company/segula-technologies,Segula technologies,https://www.segulatechnologies.com,segulatechnologies.com,segula-technologies,true
https://www.linkedin.com/company/michelin,Michelin,http://www.michelin.com,michelin.com,michelin,true
https://www.linkedin.com/company/vinci-energies,Vinci Energie,http://www.vinci-energies.com,vinci-energies.com,vinci-energies,true
https://www.linkedin.com/company/danone,Danone,http://www.danone.com,danone.com,danone,true
https://www.linkedin.com/company/keyence/,KEYENCE,https://www.keyence.fr/,keyence.fr,,false
https://www.linkedin.com/company/spie_2,Spie,http://www.spie.com,spie.com,spie_2,true
https://www.linkedin.com/company/psycleresearch/,PSYCHLE RESEARCH,https://www.psycle.io/,psycle.io,psycleresearch,true
https://www.linkedin.com/company/thales,Thales,http://www.thalesgroup.com/,thalesgroup.com,thales,true
https://www.linkedin.com/company/airbusgroup,Airbus,http://www.airbus.com,airbus.com,airbusgroup,true
https://www.linkedin.com/company/legrand,Legrand,https://www.legrandgroup.com,legrandgroup.com,legrand,true
https://www.linkedin.com/company/groupe-visionic/,VISIONIC 'groupe Siléane),https://www.visionic.fr/,visionic.fr,groupe-visionic,true
https://www.linkedin.com/company/arianespace_2,Arianespace,http://www.arianespace.com,arianespace.com,arianespace_2,true
https://www.linkedin.com/company/mecalac,Mecalac,https://www.mecalac.com/,mecalac.com,mecalac,true
https://www.linkedin.com/company/bosch-rexroth,Bosch Rexroth,http://www.boschrexroth.com,boschrexroth.com,bosch-rexroth,true
https://www.linkedin.com/company/ford-motor-company,Ford,https://corporate.ford.com/careers,ford.com,ford-motor-company,true
https://www.linkedin.com/company/spacex,SpaceX,http://www.spacex.com,spacex.com,spacex,true
https://www.linkedin.com/company/automobiles-peugeot,Peugeot,http://www.peugeot.com,peugeot.com,automobiles-peugeot,true
https://www.linkedin.com/company/bmw-group,BMW,https://www.bmwgroup.com/en/general/imprint.html,bmwgroup.com,bmw-group,true
https://www.linkedin.com/company/axon-cable/,Axon Cable,https://www.axon-cable.com/fr/00_accueil/00_sommaire/00/index.aspx,axon-cable.com,axon-cable,true
https://www.linkedin.com/company/another-brain/,AN OTHER BRAIN,https://anotherbrain.ai/fr,anotherbrain.ai,another-brain,true
https://www.linkedin.com/company/groupepsa,PSA Group,http://www.groupe-psa.com/,groupe-psa.com,groupepsa,true
https://www.linkedin.com/company/tesla-motors,Tesla,https://www.tesla.com/careers,tesla.com,tesla-motors,true
https://www.linkedin.com/company/schneider-electric,Schneider Electric,https://www.se.com/,se.com,schneider-electric,true
https://www.linkedin.com/company/boeing,Boeing,http://www.boeing.com,boeing.com,boeing,true
