linkedin_url,input_name
https://www.linkedin.com/company/procter-and-gamble,PROCTER & GAMBLE
https://www.linkedin.com/company/rafael-advanced-defense-systems-official,RAFAEL ADVANCED DEFENSE SYSTEMS
https://www.linkedin.com/company/alpine-cars-racing,Alpine Racing
https://www.linkedin.com/company/elbasecurity,ELBA
https://www.linkedin.com/company/serimax,SERIMAX
https://www.linkedin.com/company/formulaction,FORMULACTION
https://www.linkedin.com/company/sela,S.E.L.A.
https://www.linkedin.com/company/recipharm,RECIPHARM PARTICIPATIONS
https://www.linkedin.com/company/miliboo,MILIBOO
https://www.linkedin.com/company/cedrat-technologies,CEDRAT TECHNOLOGIES
https://www.linkedin.com/company/made-in-space-europe,Made In Space Europe
https://www.linkedin.com/company/scortex,SCORTEX
https://www.linkedin.com/company/ford-motor-company,FORD
https://www.linkedin.com/company/salamander-france,SALAMANDER GROUP
https://www.linkedin.com/company/delltechnologies,DELL TECHNOLOGIES
https://www.linkedin.com/company/cama-group,Cama S.P.A
https://www.linkedin.com/company/lynred,LYNRED France
https://www.linkedin.com/company/cisel,CISEL SRL
https://www.linkedin.com/company/sintersa,SCP Sintersa
https://www.linkedin.com/company/soprema-entreprises,SOPREMA ENTREPRISES
https://www.linkedin.com/company/secma-sas,SECMA
https://www.linkedin.com/company/lacroix-group,LACROIX ELECTRONICS
https://www.linkedin.com/company/another-brain,AN OTHER BRAIN
https://www.linkedin.com/company/habia-cable,HABIA CABLE
https://www.linkedin.com/company/keyence,KEYENCE
https://www.linkedin.com/company/-innova-,INNOVA AS
https://www.linkedin.com/company/michelin,MICHELIN
https://www.linkedin.com/company/tesat,Tesat-Spacecom GmbH & Co. KG
https://www.linkedin.com/company/bio-rad,BIO RAD Laboratories SAS
https://www.linkedin.com/company/lisaqua,LISAQUA
https://www.linkedin.com/company/atos-racks,ATOS RACK
https://www.linkedin.com/company/brioches-fonteneau,Fonteneau
https://www.linkedin.com/company/hemargroup,Hemargroup
https://www.linkedin.com/company/protoelectronique-com,EMS PROTO
https://www.linkedin.com/company/neutrik-france,NEUTRIK FRANCE
https://www.linkedin.com/company/vishay-intertechnology-inc-,VISHAY SA
https://www.linkedin.com/company/cuonics-gmbh,Cuonics GmbH
https://www.linkedin.com/company/molex,MOLEX
https://www.linkedin.com/company/visiativ,VISIATIV
https://www.linkedin.com/company/epiceanancy,EPICEA
https://www.linkedin.com/company/ingenico,INGENICO GROUP
https://www.linkedin.com/company/mariella-labels-oy,MARICARE OY
https://www.linkedin.com/company/mildef-group,MILDEF
https://www.linkedin.com/company/ametra,AMETRA GROUP
https://www.linkedin.com/company/msb-ressources-globales,MSB INDUSTRIES
https://www.linkedin.com/company/club-entreprises-villeneuve-loubet-cevl,CEVL
https://www.linkedin.com/company/valeo,VALEO
https://www.linkedin.com/company/becker-electronique,BECKER ELECTRONIQUE
https://www.linkedin.com/company/hutchinson,HUTCHINSON
https://www.linkedin.com/company/sabarot-wassner,SABAROT WASSNER
https://www.linkedin.com/company/boulangeries-paul,Boulangerie Paul
https://www.linkedin.com/company/seven-solutions,SEVEN SOLUTIONS
https://www.linkedin.com/company/liebherr,LIEBHERR GROUP
https://www.linkedin.com/company/falck-schmidt-systems,Jan Falck-Schmidt System
https://www.linkedin.com/company/namkin,NAMKIN
